plant_no,plant_description,short_description,charge_type,clock_unit,has_clock,ticket_1_required,ticket_2_required,category_1,category_2,category_3,category_4,category_5,category_6,is_active
A24,A24 - Storage Container (20' x 8'),Storage Container (20' x 8'),Hour,,,,,,,,,,,TRUE
A25,"A25 - Diesel Bowser Cashels Double Axle 1,000L","Diesel Bowser Cashels Double Axle 1,000L",Hour,,,,,,,,,,,TRUE
A26,"A26 - Coil Trailer c/w Tamer Double Axel 3,500Kg","Coil Trailer c/w Tamer Double Axel 3,500Kg",Hour,,,,,,,TRUE,,,,TRUE
A28,A28 - Road Sweeper,Road Sweeper,Hour,,,,,,,,,,,TRUE
A29,A29 - Low Loader Trailer Herron,Low Loader Trailer Herron,Hour,,,,,,,TRUE,,,,TRUE
A31,A31 - Rock Breaker Atlas Copco SB152 4 Tonne,Rock Breaker Atlas Copco SB152 4 Tonne,Hour,,,,,,,,,,,TRUE
A32,"A32 - Dropside Trailer Tipper Ifor Williams 3,500Kg","Dropside Trailer Tipper Ifor Williams 3,500Kg",Hour,,,,,,,TRUE,,,,TRUE
A34,"A34 - Water Settlement Tank 9,000 Litres","Water Settlement Tank 9,000 Litres",Hour,,,,,,,,,,,TRUE
A35,A35 - Rock Breaker Krupps HM135 5 Tonne,Rock Breaker Krupps HM135 5 Tonne,Hour,,,,,,,,,,,TRUE
A36,"A36 - Dropside Trailer Ifor Williams 3,500Kg","Dropside Trailer Ifor Williams 3,500Kg",Hour,,,,,,,TRUE,,,,TRUE
A37,A37 - Rock Breaker Atlas Copco SB302 7 Tonne,Rock Breaker Atlas Copco SB302 7 Tonne,Hour,,,,,,,,,,,TRUE
A40,A40 - Rock Breaker Rammer E68 25 Tonne,Rock Breaker Rammer E68 25 Tonne,Hour,,,,,,,,,,,TRUE
A42,A42 - Low Loader Trailer Dooley,Low Loader Trailer Dooley,Hour,,,,,,,TRUE,,,,TRUE
A43,"A43 - Dropside Trailer Ifor Williams 3,500Kg","Dropside Trailer Ifor Williams 3,500Kg",Hour,,,,,,,TRUE,,,,TRUE
A44,A44 - Rock Breaker Rammer CB655 8 Tonne,Rock Breaker Rammer CB655 8 Tonne,Hour,,,,,,,,,,,TRUE
A45,A45 - Rock Breaker 5TL 20 Tonne,Rock Breaker 5TL 20 Tonne,Hour,,,,,,,,,,,TRUE
A47,"A47 - Plant Trailer Ifor Williams 2,700Kg","Plant Trailer Ifor Williams 2,700Kg",Hour,,,,,,,TRUE,,,,TRUE
A48,A48 - Mole Grundomat 45mm,Mole Grundomat 45mm,Hour,,,,,,,,,,,TRUE
A49,"A49 - Low Loader Trailer McCauley (2010) 7,500Kg","Low Loader Trailer McCauley (2010) 7,500Kg",Hour,,,,,,,TRUE,,,,TRUE
A50,A50 - Rock Breaker 180L 4 Tonne,Rock Breaker 180L 4 Tonne,Hour,,,,,,,,,,,TRUE
A51,"A51 - Dropside Trailer Ifor Williams 3,500Kg","Dropside Trailer Ifor Williams 3,500Kg",Hour,,,,,,,TRUE,,,,TRUE
A52,"A52 - Plant Trailer Ifor Williams 3,500Kg","Plant Trailer Ifor Williams 3,500Kg",Hour,,,,,,,TRUE,,,,TRUE
A53,A53 - Excavator Wheel,Excavator Wheel,Hour,,,,,,,,,,,TRUE
A54,"A54 - Pipe Lifter 1,500Kg","Pipe Lifter 1,500Kg",Hour,,,,,,,,,,,TRUE
A56,A56 - Rock Breaker Atlas Copco SB152 4 Tonne,Rock Breaker Atlas Copco SB152 4 Tonne,Hour,,,,,,,,,,,TRUE
A57,A57 - Rock Breaker Atlas Copco SB152 4 Tonne,Rock Breaker Atlas Copco SB152 4 Tonne,Hour,,,,,,,,,,,TRUE
A58,A58 - Rock Breaker Atlas Copco SB152 4 Tonne,Rock Breaker Atlas Copco SB152 4 Tonne,Hour,,,,,,,,,,,TRUE
A59,A59 - Rock Breaker Atlas Copco SB152 4 Tonne,Rock Breaker Atlas Copco SB152 4 Tonne,Hour,,,,,,,,,,,TRUE
A60,"A60 - Diesel Bowser Cashels Double Axle (2016) 1,816L","Diesel Bowser Cashels Double Axle (2016) 1,816L",Hour,,,,,,,,,,,TRUE
A62,A62 - SEB Cable Reel Trailer CD130 (2016),SEB Cable Reel Trailer CD130 (2016),Hour,,,,,,,TRUE,,,,TRUE
A63,A63 - SEB Cable Reel Trailer CD32 (2016),SEB Cable Reel Trailer CD32 (2016),Hour,,,,,,,TRUE,,,,TRUE
A65,A65 - Extendable Skeletal Trailer (2006),Extendable Skeletal Trailer (2006),Hour,,,,,,,TRUE,,,,TRUE
A66,A66 - Rock Grabber Poclain 160CKB 4 Tonne,Rock Grabber Poclain 160CKB 4 Tonne,Hour,,,,,,,,,,,TRUE
A67,A67 - Rock Breaker Atlas Copco SB152 4 Tonne,Rock Breaker Atlas Copco SB152 4 Tonne,Hour,,,,,,,,,,,TRUE
A68,A68 - Compactor Hill 25 Tonne,Compactor Hill 25 Tonne,Hour,,,,,,,,,,,TRUE
A69,A69 - SFL Cable Reel Trailer 8 Tonne (1998),SFL Cable Reel Trailer 8 Tonne (1998),Hour,,,,,,,TRUE,,,,TRUE
A70,A70 - Rock Breaker Epiroc SB202 6 Tonne,Rock Breaker Epiroc SB202 6 Tonne,Hour,,,,,,,,,,,TRUE
A71,"A71 - Plant Trailer Ifor Williams 3,500Kg","Plant Trailer Ifor Williams 3,500Kg",Hour,,,,,,,TRUE,,,,TRUE
A72,A72 - Double Block Grab,Double Block Grab,Hour,,,,,,,,,,,TRUE
A73,A73 - Rock Breaker Epiroc SB202 6 Tonne,Rock Breaker Epiroc SB202 6 Tonne,Hour,,,,,,,,,,,TRUE
A74,A74 - Low Loader Trailer Dooley (2020),Low Loader Trailer Dooley (2020),Hour,,,,,,,TRUE,,,,TRUE
A75,A75 - Rock Breaker Epiroc SB202 6 Tonne,Rock Breaker Epiroc SB202 6 Tonne,Hour,,,,,,,,,,,TRUE
